SAS_No,Parti No,Malzeme Kodu,Teslimat Miktarı
SAS-5581743944,2604042343,120577753,3
SAS-5581743944,2604042344,120577753,3
SAS-5581743944,2604042346,120577753,3
SAS-5581743944,2604042358,120577753,3
SAS-5581743944,2604042342,120577753,3
SAS-5581743944,2604042345,120577753,3
SAS-5581743944,2604042347,120577753,3
SAS-5581743944,2604042348,120577753,3
SAS-5581743944,2604042285,120577754,2
SAS-5581743944,2604042281,120577754,2
SAS-5581743944,2604042286,120577754,2
SAS-5581743944,2604042289,120577754,2
SAS-5581743944,2604042275,120577754,2
SAS-5581743944,2604042280,120577754,2
SAS-5581743944,2604042276,120577754,2
SAS-5581743944,2604032305,120577754,2
SAS-5581743944,2604032299,120577754,2
SAS-5581743944,2604032266,120577754,2
SAS-5581743944,2604032265,120577754,2
SAS-5581743944,2604032267,120577754,2
SAS-5581743944,2604032252,120578241,2
SAS-5581743944,2604032253,120578241,1
SAS-5581743944,2604032251,120578241,2
SAS-5581743944,2604061225,120047881,4
SAS-5581743944,2604061229,120047881,4
SAS-5581743944,2604061230,120047881,4
SAS-5581743944,2604061231,120047881,4
SAS-5581743944,2604061379,120047881,4
SAS-5581743944,2604061378,120047881,4
SAS-5581743944,2604061411,120047881,5
SAS-5581743944,2604061392,120047881,5
SAS-5581743944,2604061377,120047881,4
SAS-5581743944,2603260645,120534552,15
SAS-5581743944,2603310220,120576753,5
SAS-5581743944,2603250714,120058402,5
SAS-5581743944,2603250708,120058402,5
SAS-5581743944,2603270361,120211328,108
SAS-5581743944,2604031226,120047881,5
SAS-5581743944,2604031227,120047881,5
SAS-5581743944,2604050208,120048845,4
SAS-5581743944,2604050207,120048845,5
SAS-5581743944,2604050202,120048845,5
SAS-5581743944,2603260642,120210504,12
SAS-5581743944,2604032308,120577756,2
SAS-5581743944,2604042359,120577753,3
SAS-5581743944,2604042272,120577754,2
SAS-5581743944,2604042370,120577755,2
SAS-5581743944,2604042369,120577755,2
SAS-5581743944,2604042368,120577755,2
SAS-5581743944,2604042367,120577755,2
SAS-5581743944,2604042274,120577754,2
SAS-5581743944,2604042273,120577754,2
SAS-5581743944,2604032032,120577756,2
SAS-5581743944,2604032030,120577756,2
SAS-5581743944,2604032152,120577756,2
SAS-5581743944,2604032029,120577756,2
SAS-5581743944,2604032028,120577756,2
SAS-5581743944,2604032014,120577756,2
SAS-5581743944,2604032015,120577756,2
SAS-5581743944,2604032016,120577756,2
SAS-5581743944,2604032017,120577756,2
SAS-5581743944,2604042365,120577754,2
SAS-5581743944,2604042364,120577754,2
SAS-5581743944,2604032013,120577756,2
SAS-5581743944,2604032010,120577756,2
SAS-5581743944,2604032009,120577756,2
SAS-5581743944,2604032011,120577756,2
SAS-5581743944,2604042366,120577755,2
SAS-5581743944,2604042267,120577756,1
SAS-5581743944,2604042271,120577754,2
SAS-5581743944,2604042277,120577754,2
SAS-5581743944,2604032306,120577756,2
SAS-5581743944,2604032369,120577754,2
SAS-5581743944,2604032376,120577754,2
SAS-5581743944,2604032289,120577754,2
SAS-5581743944,2604032378,120577754,2
SAS-5581743944,2604032285,120577754,2
SAS-5581743944,2604032290,120577754,2
SAS-5581743944,2604032291,120577754,2
SAS-5581743944,2604032333,120577754,2
SAS-5581743944,2604032334,120577754,2
SAS-5581743944,2604080989,120507296,36
SAS-5581743944,2604080967,120507296,36
SAS-5581743944,2604080966,120507296,36
SAS-5581743944,2604080991,120507296,36
SAS-5581743944,2604080965,120507296,36
SAS-5581743944,2604080990,120507296,36
SAS-5581743944,2604032298,120577754,2
SAS-5581743944,2604032301,120577754,2
SAS-5581743944,2604032300,120577754,2
SAS-5581743944,2604032368,120577754,2
SAS-5581743944,2604032321,120577754,2
SAS-5581743944,2604032322,120577754,2
SAS-5581743944,2604032323,120577754,2
SAS-5581743944,2604032324,120577754,2
SAS-5581743944,2604032375,120577754,2
SAS-5581743944,2604032348,120577753,2
SAS-5581743944,2604032264,120577754,2
SAS-5581743944,2604032262,120577754,2
SAS-5581743944,2604032296,120577754,2
SAS-5581743944,2604032263,120577754,2
SAS-5581743944,2604032260,120577754,2
