hammadde kodu;YARI MAMUL ADI;BAĞLI BLOK STOK KODU;BAĞLI BLOK STOK ADI
HASUPL11533;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X118X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11535;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X118X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11536;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X120X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11537;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X128X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11541;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X135X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11542;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X135X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11543;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X138X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11545;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X138X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11552;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X88X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11555;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X90X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11556;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 188X90X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11560;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 190X122X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11562;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 190X137X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11563;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 190X137X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11572;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 190X90X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11573;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 190X90X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11575;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 190X92X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11576;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 190X92X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11577;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 190X96X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
